Cup ID,TAG,Family,Hardening_Treatment,Stress_Treatment,0,6,24,30,48,54
2,334,YC24-116,Control,37C,0,0,0,1,1,1
5,350,YC24-087,High,37C,0,0,0,1,1,1
7,350,YC24-087,High,37C,0,0,0,1,1,1
9,350,YC24-087,High,37C,0,0,0,1,1,1
11,334,YC24-116,Control,37C,0,0,1,1,1,1
17,334,YC24-116,Control,37C,0,0,0,0,1,1
21,394,YC24-153,Control,37C,0,0,0,0,0,0
31,349,YC24-163,High,37C,0,0,0,0,0,1
32,395,YC24-087,Control,37C,0,0,0,1,1,1
33,394,YC24-153,Control,37C,0,0,0,0,0,1
34,395,YC24-087,Control,37C,0,0,0,1,1,1
40,349,YC24-163,High,37C,0,0,0,0,0,0
42,388,YC24-163,Control,37C,0,0,0,1,1,1
61,388,YC24-163,Control,37C,0,0,0,0,1,1
62,394,YC24-153,Control,37C,0,0,0,0,1,1
63,395,YC24-087,Control,37C,0,0,0,0,1,1
64,349,YC24-163,High,37C,0,0,0,0,0,1
67,349,YC24-163,High,37C,0,0,0,0,0,0
69,349,YC24-163,High,37C,0,0,0,0,0,1
75,394,YC24-153,Control,37C,0,0,0,1,1,1
78,388,YC24-163,Control,37C,0,0,0,0,0,1
83,395,YC24-087,Control,37C,0,0,0,1,1,1
86,350,YC24-087,High,37C,0,0,0,1,1,1
92,334,YC24-116,Control,37C,0,0,0,1,1,1
93,350,YC24-087,High,37C,0,0,0,1,1,1
94,334,YC24-116,Control,37C,0,0,1,1,1,1
100,395,YC24-087,Control,37C,0,0,0,1,1,1
111,394,YC24-153,Control,37C,0,0,0,0,1,1
134,395,YC24-087,Control,37C,0,0,1,1,1,1
135,349,YC24-163,High,37C,0,0,0,0,0,1
136,388,YC24-163,Control,37C,0,0,0,0,1,1
137,388,YC24-163,Control,37C,0,0,0,1,1,1
138,395,YC24-087,Control,37C,0,0,0,0,1,1
139,395,YC24-087,Control,37C,0,0,0,1,1,1
140,349,YC24-163,High,37C,0,0,0,0,0,0
162,394,YC24-153,Control,37C,0,0,0,0,0,0
163,334,YC24-116,Control,37C,0,0,0,1,1,1
164,350,YC24-087,High,37C,0,0,0,1,1,1
165,388,YC24-163,Control,37C,0,0,0,0,0,1
166,394,YC24-153,Control,37C,0,0,0,0,0,1
167,334,YC24-116,Control,37C,0,0,0,1,1,1
169,394,YC24-153,Control,37C,0,0,0,0,0,0
170,388,YC24-163,Control,37C,0,0,0,0,0,0
171,334,YC24-116,Control,37C,0,0,1,1,1,1
200,350,YC24-087,High,37C,0,0,0,1,1,1
201,350,YC24-087,High,37C,0,0,0,1,1,1
202,345,YC24-153,High,37C,0,0,0,0,1,1
203,345,YC24-153,High,37C,0,0,0,0,0,0
204,345,YC24-153,High,37C,0,0,0,0,0,1
205,345,YC24-153,High,37C,0,0,0,1,1,1
206,345,YC24-153,High,37C,0,0,0,0,1,1
207,345,YC24-153,High,37C,0,0,0,1,1,1
208,345,YC24-153,High,37C,0,0,0,0,1,1
209,345,YC24-153,High,37C,0,0,0,0,0,1
210,332,YC24-116,High,37C,0,0,0,1,1,1
211,332,YC24-116,High,37C,0,0,0,1,1,1
212,332,YC24-116,High,37C,0,0,0,1,1,1
213,332,YC24-116,High,37C,0,0,0,1,1,1
214,332,YC24-116,High,37C,0,0,0,1,1,1
215,332,YC24-116,High,37C,0,0,0,1,1,1
216,332,YC24-116,High,37C,0,0,0,1,1,1
217,332,YC24-116,High,37C,0,0,0,1,1,1
218,349,YC24-163,High,37C,0,1,1,1,1,1
219,388,YC24-163,Control,37C,0,0,0,0,0,0
